Code,Airport
BFM,Mobile Downtown Airport
BFN,Bram Fischer International Airport
BFO,Buffalo Range Airport
BFP,Beaver County Airport
BFQ,Bahia Pi?ña Airport
BFR,Virgil I Grissom Municipal Airport
BFS,Belfast International Airport
BFT,Beaufort County Airport
BFU,Bengbu Airport
BFV,Buri Ram Airport
BFW,Sidi Bel Abbes Airport
BFX,Bafoussam Airport
BGA,Palonegro Airport
BGB,Booue Airport
BGC,Bragan??a Airport
BGD,Hutchinson County Airport
BGE,Decatur County Industrial Air Park
BGF,Bangui M'Poko International Airport
BGG,Bing??l ??eltiksuyu Airport
BGH,Abbaye Airport
BGI,Sir Grantley Adams International Airport
BGJ,Borgarfj??r?øur eystri Airport
BGK,Big Creek Airport
BGL,Baglung Airport
BGM,Greater Binghamton/Edwin A Link field
BGN,Belaya Gora Airport
BGO,Bergen Airport Flesland
BGP,Bongo Airport
BGQ,Big Lake Airport
BGR,Bangor International Airport
BGT,Bagdad Airport
BGU,Bangassou Airport
BGV,Aeroclube de Bento Gon??alves Airport
BGW,Baghdad International Airport
BGX,Comandante Gustavo Kraemer Airport
BGY,Il Caravaggio International Airport
BGZ,Braga Municipal Aerodrome
BHA,Los Perales Airport
BHB,Hancock County-Bar Harbor Airport
BHC,Bhurban Heliport
BHD,George Best Belfast City Airport
BHE,Woodbourne Airport
BHF,Bahia Cupica Airport
BHG,Brus Laguna Airport
BHH,Bisha Airport
BHI,Comandante Espora Airport
BHJ,Bhuj Airport
BHK,Bukhara Airport
BHL,Bah??a de los ?ngeles Airport
BHM,Birmingham-Shuttlesworth International Airport
BHN,Beihan Airport
BHO,Raja Bhoj International Airport
BHP,Bhojpur Airport
BHQ,Broken Hill Airport
BHR,Bharatpur Airport
BHS,Bathurst Airport
BHT,Brighton Downs Airport
BHU,Bhavnagar Airport
BHV,Bahawalpur Airport
BHW,Bhagatanwala Airport
BHX,Birmingham International Airport
BHY,Beihai Airport
BIA,Bastia-Poretta Airport
BIB,Baidoa Airport
BID,Block Island State Airport
BIE,Beatrice Municipal Airport
BIF,Biggs Army Air Field (Fort Bliss)
BIG,Allen Army Airfield
BIH,Eastern Sierra Regional Airport
BII,Enyu Airfield
BIJ,Biliau Airport
BIK,Frans Kaisiepo Airport
BIL,Billings Logan International Airport
BIM,South Bimini Airport
BIN,Bamiyan Airport
BIO,Bilbao Airport
BIP,Bulimba Airport
BIQ,Biarritz-Anglet-Bayonne Airport
BIR,Biratnagar Airport
BIS,Bismarck Municipal Airport
BIT,Baitadi Airport
BIU,Bildudalur Airport
BIV,Bria Airport
BIW,Billiluna Airport
BIX,Keesler Air Force Base
BIY,Bisho Airport
BIZ,Bimin Airport
BJA,Soummam Airport
BJB,Bojnord Airport
BJC,Rocky Mountain Metropolitan Airport
BJD,Bakkafj??r?øur Airport
BJE,Baleela Airport
BJF,B?tsfjord Airport
BJG,Boalang Airport
BJH,Bajhang Airport
BJI,Bemidji Regional Airport
BJJ,Wayne County Airport
BJK,Nangasuri Airport
BJL,Banjul International Airport
BJM,Bujumbura International Airport
BJO,Bermejo Airport
BJP,Estadual Arthur Siqueira Airport
BJQ,Bahja Airport
BJR,Bahir Dar Airport
BJT,Bentota River Waterdrome
BJU,Bajura Airport
